DOY tec med
311.0 016.3 11.25
311.0 005.5 05.54
311.0 004.7 05.87
311.0 005.7 06.95
311.0 006.8 08.38
311.0 008.3 09.36
311.0 007.8 10.28
311.0 018.8 17.25
311.0 027.4 023.4
311.0 028.1 27.31
311.0 023.7 28.81
311.0 025.3 27.82
312.0 020.4 11.25
312.0 011.9 05.54
312.0 008.7 05.87
312.0 009.9 06.95
312.0 010.0 08.38
312.0 010.6 09.36
312.0 010.0 10.28
312.0 023.0 17.25
312.0 035.3 023.4
312.0 041.0 27.31
312.0 049.0 28.81
312.0 053.8 27.82
313.0 047.6 11.25
313.0 037.0 05.54
313.0 043.5 05.87
313.0 013.5 06.95
313.0 007.0 08.38
313.0 005.4 09.36
313.0 006.2 10.28
313.0 020.2 17.25
313.0 028.1 023.4
313.0 026.9 27.31
313.0 030.3 28.81
313.0 026.5 27.82
314.0 017.1 11.25
314.0 008.0 05.54
314.0 005.4 05.87
314.0 001.2 06.95
314.0 002.4 08.38
314.0 002.5 09.36
314.0 002.4 10.28
314.0 016.3 17.25
314.0 029.6 023.4
314.0 026.2 27.31
314.0 030.9 28.81
314.0 040.2 27.82
315.0 029.6 11.25
315.0 014.5 05.54
315.0 013.1 05.87
315.0 013.3 06.95
315.0 008.3 08.38
315.0 006.4 09.36
315.0 003.7 10.28
315.0 019.3 17.25
315.0 030.3 023.4
315.0 029.3 27.31
315.0 022.4 28.81
315.0 014.8 27.82
316.0 010.7 11.25
316.0 002.8 05.54
316.0 001.3 05.87
316.0 002.5 06.95
316.0 003.7 08.38
316.0 004.1 09.36
316.0 004.2 10.28
316.0 016.8 17.25
316.0 033.1 023.4
316.0 029.1 27.31
316.0 023.6 28.81
316.0 020.4 27.82
317.0 009.5 11.25
317.0 002.4 05.54
317.0 002.2 05.87
317.0 004.1 06.95
317.0 004.2 08.38
317.0 005.4 09.36
317.0 004.8 10.28
317.0 018.3 17.25
317.0 019.1 023.4
317.0 024.4 27.31
317.0 028.9 28.81
317.0 021.5 27.82
318.0 013.0 11.25
318.0 003.6 05.54
318.0 004.1 05.87
318.0 006.0 06.95
318.0 006.2 08.38
318.0 007.4 09.36
318.0 006.0 10.28
318.0 018.2 17.25
318.0 029.8 023.4
318.0 027.8 27.31
318.0 022.7 28.81
318.0 020.2 27.82
319.0 013.3 11.25
319.0 004.4 05.54
319.0 004.0 05.87
319.0 004.1 06.95
319.0 006.6 08.38
319.0 008.1 09.36
319.0 007.3 10.28
319.0 015.9 17.25
319.0 024.5 023.4
319.0 027.5 27.31
319.0 025.1 28.81
319.0 026.1 27.82
