DOY tec med
326.0 045.0 26.99
326.0 025.5 18.12
326.0 018.2 14.28
326.0 016.2 12.73
326.0 015.5 013.2
326.0 015.2 13.42
326.0 023.7 20.08
326.0 051.3 37.03
326.0 061.8 46.96
326.0 069.1 51.43
326.0 075.7 52.74
326.0 070.9 49.39
327.0 049.7 26.99
327.0 024.5 18.12
327.0 017.4 14.28
327.0 015.5 12.73
327.0 016.4 013.2
327.0 015.7 13.42
327.0 023.5 20.08
327.0 052.3 37.03
327.0 070.1 46.96
327.0 080.2 51.43
327.0 085.6 52.74
327.0 078.3 49.39
328.0 054.0 26.99
328.0 027.6 18.12
328.0 014.9 14.28
328.0 010.6 12.73
328.0 011.6 013.2
328.0 011.5 13.42
328.0 020.7 20.08
328.0 071.7 37.03
328.0 091.6 46.96
328.0 093.6 51.43
328.0 095.9 52.74
328.0 093.4 49.39
329.0 059.6 26.99
329.0 031.0 18.12
329.0 021.9 14.28
329.0 017.8 12.73
329.0 015.2 013.2
329.0 013.9 13.42
329.0 021.7 20.08
329.0 053.0 37.03
329.0 067.1 46.96
329.0 070.6 51.43
329.0 076.0 52.74
329.0 067.6 49.39
330.0 040.8 26.99
330.0 021.9 18.12
330.0 015.1 14.28
330.0 013.1 12.73
330.0 012.7 013.2
330.0 013.2 13.42
330.0 019.3 20.08
330.0 042.9 37.03
330.0 055.0 46.96
330.0 065.0 51.43
330.0 068.6 52.74
330.0 059.9 49.39
331.0 032.0 26.99
331.0 017.5 18.12
331.0 014.3 14.28
331.0 011.3 12.73
331.0 011.6 013.2
331.0 011.4 13.42
331.0 018.4 20.08
331.0 045.6 37.03
331.0 057.4 46.96
331.0 061.3 51.43
331.0 063.8 52.74
331.0 058.4 49.39
