DOY tec med
146.0 027.1 13.15
146.0 022.3 010.5
146.0 013.1 07.38
146.0 010.1 07.95
146.0 009.9 08.42
146.0 008.2 09.09
146.0 008.5 10.01
146.0 015.5 14.08
146.0 017.2 16.56
146.0 023.7 19.71
146.0 027.3 22.96
146.0 028.2 25.03
147.0 027.8 13.15
147.0 023.1 010.5
147.0 011.2 07.38
147.0 008.9 07.95
147.0 008.5 08.42
147.0 007.7 09.09
147.0 007.6 10.01
147.0 015.0 14.08
147.0 018.2 16.56
147.0 024.2 19.71
147.0 030.2 22.96
147.0 031.5 25.03
148.0 029.4 13.15
148.0 030.5 010.5
148.0 030.2 07.38
148.0 029.1 07.95
148.0 020.3 08.42
148.0 008.2 09.09
148.0 006.9 10.01
148.0 011.8 14.08
148.0 014.6 16.56
148.0 020.0 19.71
148.0 020.4 22.96
148.0 018.4 25.03
149.0 017.8 13.15
149.0 014.1 010.5
149.0 008.5 07.38
149.0 007.4 07.95
149.0 007.5 08.42
149.0 006.2 09.09
149.0 007.0 10.01
149.0 014.3 14.08
149.0 018.3 16.56
149.0 023.7 19.71
149.0 024.8 22.96
149.0 024.5 25.03
150.0 021.4 13.15
150.0 015.7 010.5
150.0 009.0 07.38
150.0 008.1 07.95
150.0 008.2 08.42
150.0 007.1 09.09
150.0 007.3 10.01
150.0 015.0 14.08
150.0 019.6 16.56
150.0 025.0 19.71
150.0 029.7 22.96
150.0 030.2 25.03
