DOY tec med
222.0 048.5 23.37
222.0 035.2 18.95
222.0 029.9 016.6
222.0 026.9 16.56
222.0 023.8 15.45
222.0 019.8 15.11
222.0 031.7 21.09
222.0 048.7 29.73
222.0 063.8 35.84
222.0 074.5 40.82
222.0 069.8 41.78
222.0 066.1 39.49
223.0 054.6 23.37
223.0 041.3 18.95
223.0 033.9 016.6
223.0 029.8 16.56
223.0 026.2 15.45
223.0 024.9 15.11
223.0 040.7 21.09
223.0 062.2 29.73
223.0 073.7 35.84
223.0 078.2 40.82
223.0 075.7 41.78
223.0 059.6 39.49
224.0 047.9 23.37
224.0 038.7 18.95
224.0 032.4 016.6
224.0 029.2 16.56
224.0 030.8 15.45
224.0 025.3 15.11
224.0 035.2 21.09
224.0 047.3 29.73
224.0 046.8 35.84
224.0 049.7 40.82
224.0 042.6 41.78
224.0 042.0 39.49
225.0 031.1 23.37
225.0 024.8 18.95
225.0 021.3 016.6
225.0 019.5 16.56
225.0 008.8 15.45
225.0 005.8 15.11
225.0 017.3 21.09
225.0 029.6 29.73
225.0 031.4 35.84
225.0 034.9 40.82
225.0 032.5 41.78
225.0 033.1 39.49
226.0 031.1 23.37
226.0 025.2 18.95
226.0 021.0 016.6
226.0 016.9 16.56
226.0 015.1 15.45
226.0 013.4 15.11
226.0 024.6 21.09
226.0 045.6 29.73
226.0 055.9 35.84
226.0 065.5 40.82
226.0 068.0 41.78
226.0 057.0 39.49
227.0 045.1 23.37
227.0 031.5 18.95
227.0 026.8 016.6
227.0 023.7 16.56
227.0 019.3 15.45
227.0 016.7 15.11
227.0 025.5 21.09
227.0 044.5 29.73
227.0 058.1 35.84
227.0 072.9 40.82
227.0 072.2 41.78
227.0 066.4 39.49
