DOY tec med
307.0 050.7 28.55
307.0 032.6 20.18
307.0 023.0 16.48
307.0 018.0 14.62
307.0 016.4 14.69
307.0 014.9 014.4
307.0 025.3 21.72
307.0 051.4 38.12
307.0 068.0 48.48
307.0 076.5 53.95
307.0 077.9 56.54
307.0 068.7 51.92
308.0 048.3 28.55
308.0 034.6 20.18
308.0 021.2 16.48
308.0 016.9 14.62
308.0 017.0 14.69
308.0 016.2 014.4
308.0 027.1 21.72
308.0 055.0 38.12
308.0 082.2 48.48
308.0 084.3 53.95
308.0 087.8 56.54
308.0 078.2 51.92
309.0 053.5 28.55
309.0 031.6 20.18
309.0 023.5 16.48
309.0 019.4 14.62
309.0 015.9 14.69
309.0 013.9 014.4
309.0 023.8 21.72
309.0 052.1 38.12
309.0 067.2 48.48
309.0 077.0 53.95
309.0 086.5 56.54
309.0 086.5 51.92
310.0 057.3 28.55
310.0 034.1 20.18
310.0 027.0 16.48
310.0 027.8 14.62
310.0 027.7 14.69
310.0 023.7 014.4
310.0 043.7 21.72
310.0 075.2 38.12
310.0 089.4 48.48
310.0 097.8 53.95
310.0 105.3 56.54
310.0 104.8 51.92
311.0 086.4 28.55
311.0 055.3 20.18
311.0 037.6 16.48
311.0 029.4 14.62
311.0 024.8 14.69
311.0 015.2 014.4
311.0 025.0 21.72
311.0 054.5 38.12
311.0 070.9 48.48
311.0 084.0 53.95
311.0 085.1 56.54
311.0 074.9 51.92
312.0 054.5 28.55
312.0 034.1 20.18
312.0 023.8 16.48
312.0 017.5 14.62
312.0 016.6 14.69
312.0 015.8 014.4
312.0 025.8 21.72
312.0 054.5 38.12
312.0 073.8 48.48
312.0 076.3 53.95
312.0 070.1 56.54
312.0 066.2 51.92
313.0 046.7 28.55
313.0 028.7 20.18
313.0 020.8 16.48
313.0 015.6 14.62
313.0 015.5 14.69
313.0 014.1 014.4
313.0 024.1 21.72
313.0 054.2 38.12
313.0 075.1 48.48
313.0 079.5 53.95
313.0 077.7 56.54
313.0 071.3 51.92
314.0 047.9 28.55
314.0 029.8 20.18
314.0 025.2 16.48
314.0 018.7 14.62
314.0 016.8 14.69
314.0 014.5 014.4
314.0 024.8 21.72
314.0 051.2 38.12
314.0 066.1 48.48
314.0 073.5 53.95
314.0 075.6 56.54
314.0 072.7 51.92
