DOY tec med
100.0 066.5 31.38
100.0 049.6 23.14
100.0 036.6 19.57
100.0 033.7 17.73
100.0 023.4 16.52
100.0 021.5 16.04
100.0 031.9 20.77
100.0 050.5 35.41
100.0 074.6 46.68
100.0 097.8 55.75
100.0 111.0 58.96
100.0 092.5 54.14
101.0 066.5 31.38
101.0 052.5 23.14
101.0 036.9 19.57
101.0 031.8 17.73
101.0 029.9 16.52
101.0 027.2 16.04
101.0 034.7 20.77
101.0 054.8 35.41
101.0 086.1 46.68
101.0 127.8 55.75
101.0 143.4 58.96
101.0 121.0 54.14
102.0 105.7 31.38
102.0 068.3 23.14
102.0 048.0 19.57
102.0 047.5 17.73
102.0 042.5 16.52
102.0 042.2 16.04
102.0 046.1 20.77
102.0 059.0 35.41
102.0 074.2 46.68
102.0 079.3 55.75
102.0 076.4 58.96
102.0 058.5 54.14
103.0 050.2 31.38
103.0 035.4 23.14
103.0 025.5 19.57
103.0 020.1 17.73
103.0 017.6 16.52
103.0 016.2 16.04
103.0 028.8 20.77
103.0 041.8 35.41
103.0 064.1 46.68
103.0 098.8 55.75
103.0 099.0 58.96
103.0 080.4 54.14
104.0 058.8 31.38
104.0 037.3 23.14
104.0 025.9 19.57
104.0 025.5 17.73
104.0 019.9 16.52
104.0 014.4 16.04
104.0 026.5 20.77
104.0 044.8 35.41
104.0 064.0 46.68
104.0 083.8 55.75
104.0 076.2 58.96
104.0 057.3 54.14
105.0 047.8 31.38
105.0 038.5 23.14
105.0 034.2 19.57
105.0 020.4 17.73
105.0 017.7 16.52
105.0 016.1 16.04
105.0 024.5 20.77
105.0 044.6 35.41
105.0 064.0 46.68
105.0 080.8 55.75
105.0 085.7 58.96
105.0 082.3 54.14
