DOY tec med
323.0 019.7 017.6
323.0 009.2 09.62
323.0 010.0 09.07
323.0 007.4 08.37
323.0 008.4 09.31
323.0 010.2 10.04
323.0 010.4 11.61
323.0 027.7 20.91
323.0 045.9 30.03
323.0 047.5 35.36
323.0 050.1 39.67
323.0 040.4 038.9
324.0 020.4 017.6
324.0 008.3 09.62
324.0 007.1 09.07
324.0 005.2 08.37
324.0 007.2 09.31
324.0 009.4 10.04
324.0 008.1 11.61
324.0 032.5 20.91
324.0 058.1 30.03
324.0 076.1 35.36
324.0 107.8 39.67
324.0 070.5 038.9
325.0 036.2 017.6
325.0 024.1 09.62
325.0 022.1 09.07
325.0 018.9 08.37
325.0 015.8 09.31
325.0 014.5 10.04
325.0 012.0 11.61
325.0 029.6 20.91
325.0 043.4 30.03
325.0 046.5 35.36
325.0 039.2 39.67
325.0 033.1 038.9
326.0 021.5 017.6
326.0 009.9 09.62
326.0 011.5 09.07
326.0 007.6 08.37
326.0 007.4 09.31
326.0 008.4 10.04
326.0 009.1 11.61
326.0 028.9 20.91
326.0 048.3 30.03
326.0 063.6 35.36
326.0 078.6 39.67
326.0 060.0 038.9
327.0 037.5 017.6
327.0 017.5 09.62
327.0 012.2 09.07
327.0 010.5 08.37
327.0 010.7 09.31
327.0 009.6 10.04
327.0 011.5 11.61
327.0 032.8 20.91
327.0 053.1 30.03
327.0 062.1 35.36
327.0 059.0 39.67
327.0 046.2 038.9
328.0 032.4 017.6
328.0 011.5 09.62
328.0 009.5 09.07
328.0 011.2 08.37
328.0 009.7 09.31
328.0 009.9 10.04
328.0 010.0 11.61
328.0 028.2 20.91
328.0 047.2 30.03
328.0 061.2 35.36
328.0 060.4 39.67
328.0 047.7 038.9
