DOY tec med
249.0 034.6 12.16
249.0 012.3 08.53
249.0 008.7 06.96
249.0 008.5 07.46
249.0 008.6 08.24
249.0 007.6 08.98
249.0 007.4 09.64
249.0 019.9 013.9
249.0 023.9 16.54
249.0 034.4 20.31
249.0 042.5 23.85
249.0 037.9 25.79
250.0 026.8 12.16
250.0 016.9 08.53
250.0 011.2 06.96
250.0 010.1 07.46
250.0 010.0 08.24
250.0 009.1 08.98
250.0 007.8 09.64
250.0 016.7 013.9
250.0 018.1 16.54
250.0 028.7 20.31
250.0 037.6 23.85
250.0 037.2 25.79
251.0 032.1 12.16
251.0 025.9 08.53
251.0 025.6 06.96
251.0 017.8 07.46
251.0 007.4 08.24
251.0 007.0 08.98
251.0 007.2 09.64
251.0 011.0 013.9
251.0 020.0 16.54
251.0 024.2 20.31
251.0 025.4 23.85
251.0 035.1 25.79
252.0 024.3 12.16
252.0 011.3 08.53
252.0 007.3 06.96
252.0 006.7 07.46
252.0 007.1 08.24
252.0 006.5 08.98
252.0 006.0 09.64
252.0 013.6 013.9
252.0 020.6 16.54
252.0 028.7 20.31
252.0 025.7 23.85
252.0 022.0 25.79
253.0 018.6 12.16
253.0 011.6 08.53
253.0 009.4 06.96
253.0 008.3 07.46
253.0 008.2 08.24
253.0 006.7 08.98
253.0 006.6 09.64
253.0 012.9 013.9
253.0 017.0 16.54
253.0 024.2 20.31
253.0 029.2 23.85
253.0 027.7 25.79
