DOY tec med
300.0 042.6 18.28
300.0 017.6 09.88
300.0 008.8 08.46
300.0 010.6 09.12
300.0 010.8 009.9
300.0 010.6 010.6
300.0 013.7 11.52
300.0 035.8 020.2
300.0 057.0 28.32
300.0 068.8 34.01
300.0 074.0 37.61
300.0 057.5 035.9
301.0 038.2 18.28
301.0 019.6 09.88
301.0 014.1 08.46
301.0 011.9 09.12
301.0 011.8 009.9
301.0 009.0 010.6
301.0 017.6 11.52
301.0 035.1 020.2
301.0 061.6 28.32
301.0 075.7 34.01
301.0 073.2 37.61
301.0 064.0 035.9
302.0 047.3 18.28
302.0 023.9 09.88
302.0 014.7 08.46
302.0 010.4 09.12
302.0 009.5 009.9
302.0 009.3 010.6
302.0 009.1 11.52
302.0 038.3 020.2
302.0 073.7 28.32
302.0 103.0 34.01
302.0 163.0 37.61
302.0 208.4 035.9
303.0 114.0 18.28
303.0 068.1 09.88
303.0 070.8 08.46
303.0 038.5 09.12
303.0 024.0 009.9
303.0 017.3 010.6
303.0 018.0 11.52
303.0 028.3 020.2
303.0 044.3 28.32
303.0 069.6 34.01
303.0 126.7 37.61
303.0 139.9 035.9
304.0 076.5 18.28
304.0 032.5 09.88
304.0 020.6 08.46
304.0 012.9 09.12
304.0 014.1 009.9
304.0 016.3 010.6
304.0 013.2 11.52
304.0 043.4 020.2
304.0 058.9 28.32
304.0 059.6 34.01
304.0 071.9 37.61
304.0 067.9 035.9
305.0 052.3 18.28
305.0 026.8 09.88
305.0 014.0 08.46
305.0 008.7 09.12
305.0 010.4 009.9
305.0 011.6 010.6
305.0 011.9 11.52
305.0 029.0 020.2
305.0 048.4 28.32
305.0 054.9 34.01
305.0 064.9 37.61
305.0 069.2 035.9
306.0 046.3 18.28
306.0 015.5 09.88
306.0 010.2 08.46
306.0 010.7 09.12
306.0 011.3 009.9
306.0 010.3 010.6
306.0 011.0 11.52
306.0 030.0 020.2
306.0 047.7 28.32
306.0 063.7 34.01
306.0 076.3 37.61
306.0 070.0 035.9
