DOY tec med
295.0 041.5 23.25
295.0 036.6 17.85
295.0 043.0 16.32
295.0 028.9 14.92
295.0 020.9 13.19
295.0 020.7 24.41
295.0 024.4 046.1
295.0 054.8 60.88
295.0 062.9 70.26
295.0 057.4 78.11
295.0 056.4 65.92
295.0 040.4 32.55
296.0 025.0 23.25
296.0 017.1 17.85
296.0 014.9 16.32
296.0 010.8 14.92
296.0 009.5 13.19
296.0 009.0 24.41
296.0 018.4 046.1
296.0 044.1 60.88
296.0 059.3 70.26
296.0 070.2 78.11
296.0 068.6 65.92
296.0 051.1 32.55
297.0 034.8 23.25
297.0 019.7 17.85
297.0 014.0 16.32
297.0 013.1 14.92
297.0 013.5 13.19
297.0 013.2 24.41
297.0 021.1 046.1
297.0 045.8 60.88
297.0 062.7 70.26
297.0 067.5 78.11
297.0 070.4 65.92
297.0 058.3 32.55
298.0 033.8 23.25
298.0 019.4 17.85
298.0 015.2 16.32
298.0 014.1 14.92
298.0 013.6 13.19
298.0 014.3 24.41
298.0 022.4 046.1
298.0 046.7 60.88
298.0 060.3 70.26
298.0 073.1 78.11
298.0 080.2 65.92
298.0 065.1 32.55
299.0 032.0 23.25
299.0 022.6 17.85
299.0 016.4 16.32
299.0 013.7 14.92
299.0 012.4 13.19
299.0 012.2 24.41
299.0 018.5 046.1
299.0 043.1 60.88
299.0 057.0 70.26
299.0 069.4 78.11
299.0 075.6 65.92
299.0 063.1 32.55
