DOY tec med
134.0 028.2 17.52
134.0 022.3 12.33
134.0 012.3 09.54
134.0 009.5 009.5
134.0 010.4 09.99
134.0 009.8 10.69
134.0 010.7 11.35
134.0 018.1 16.96
134.0 024.3 21.21
134.0 032.4 26.29
134.0 037.1 30.48
134.0 040.5 031.0
135.0 038.7 17.52
135.0 019.6 12.33
135.0 013.7 09.54
135.0 012.1 009.5
135.0 009.3 09.99
135.0 008.6 10.69
135.0 008.0 11.35
135.0 013.4 16.96
135.0 019.5 21.21
135.0 021.8 26.29
135.0 019.0 30.48
135.0 022.0 031.0
136.0 022.7 17.52
136.0 017.5 12.33
136.0 015.0 09.54
136.0 012.8 009.5
136.0 010.6 09.99
136.0 008.1 10.69
136.0 007.8 11.35
136.0 018.7 16.96
136.0 029.7 21.21
136.0 042.3 26.29
136.0 037.9 30.48
136.0 033.9 031.0
137.0 039.9 17.52
137.0 029.2 12.33
137.0 015.7 09.54
137.0 013.8 009.5
137.0 013.0 09.99
137.0 010.4 10.69
137.0 008.7 11.35
137.0 014.7 16.96
137.0 025.3 21.21
137.0 036.8 26.29
137.0 042.4 30.48
137.0 046.1 031.0
138.0 041.4 17.52
138.0 032.2 12.33
138.0 019.5 09.54
138.0 014.8 009.5
138.0 015.2 09.99
138.0 014.1 10.69
138.0 014.3 11.35
138.0 013.9 16.96
138.0 016.6 21.21
138.0 020.6 26.29
138.0 025.9 30.48
138.0 029.8 031.0
