DOY tec med
171.0 045.6 23.16
171.0 033.4 20.33
171.0 023.9 15.88
171.0 018.4 14.49
171.0 017.8 14.13
171.0 015.1 13.79
171.0 013.0 14.27
171.0 023.7 021.7
171.0 034.5 27.27
171.0 045.4 32.89
171.0 050.4 36.66
171.0 044.7 36.44
172.0 042.1 23.16
172.0 036.2 20.33
172.0 027.2 15.88
172.0 016.5 14.49
172.0 013.6 14.13
172.0 011.8 13.79
172.0 013.2 14.27
172.0 025.2 021.7
172.0 038.5 27.27
172.0 047.4 32.89
172.0 052.4 36.66
172.0 049.9 36.44
173.0 044.9 23.16
173.0 038.7 20.33
173.0 024.2 15.88
173.0 017.9 14.49
173.0 015.8 14.13
173.0 015.3 13.79
173.0 018.4 14.27
173.0 026.6 021.7
173.0 035.5 27.27
173.0 042.6 32.89
173.0 062.5 36.66
173.0 060.5 36.44
174.0 047.8 23.16
174.0 029.0 20.33
174.0 028.1 15.88
174.0 027.2 14.49
174.0 014.3 14.13
174.0 005.9 13.79
174.0 009.1 14.27
174.0 022.6 021.7
174.0 021.4 27.27
174.0 024.2 32.89
174.0 030.2 36.66
174.0 032.3 36.44
175.0 032.7 23.16
175.0 025.7 20.33
175.0 021.7 15.88
175.0 022.3 14.49
175.0 017.4 14.13
175.0 011.9 13.79
175.0 012.7 14.27
175.0 021.0 021.7
175.0 025.2 27.27
175.0 035.9 32.89
175.0 041.9 36.66
175.0 037.0 36.44
176.0 033.8 23.16
176.0 030.7 20.33
176.0 024.0 15.88
176.0 017.7 14.49
176.0 013.5 14.13
176.0 011.0 13.79
176.0 014.3 14.27
176.0 022.1 021.7
176.0 028.9 27.27
176.0 028.5 32.89
176.0 031.8 36.66
176.0 036.1 36.44
