DOY tec med
096.0 084.9 35.74
096.0 064.2 26.61
096.0 055.6 22.43
096.0 044.7 19.06
096.0 034.5 16.99
096.0 024.4 15.56
096.0 038.5 20.59
096.0 070.7 037.5
096.0 093.8 50.95
096.0 114.5 60.59
096.0 115.8 62.38
096.0 101.7 56.71
097.0 076.6 35.74
097.0 059.5 26.61
097.0 046.8 22.43
097.0 039.2 19.06
097.0 036.1 16.99
097.0 029.5 15.56
097.0 040.4 20.59
097.0 070.9 037.5
097.0 095.6 50.95
097.0 133.3 60.59
097.0 165.3 62.38
097.0 159.6 56.71
098.0 120.7 35.74
098.0 113.2 26.61
098.0 082.9 22.43
098.0 040.3 19.06
098.0 047.0 16.99
098.0 029.2 15.56
098.0 037.9 20.59
098.0 089.3 037.5
098.0 103.5 50.95
098.0 108.3 60.59
098.0 104.0 62.38
098.0 090.2 56.71
099.0 075.2 35.74
099.0 053.2 26.61
099.0 035.3 22.43
099.0 029.4 19.06
099.0 029.2 16.99
099.0 028.5 15.56
099.0 036.6 20.59
099.0 066.0 037.5
099.0 095.4 50.95
099.0 116.6 60.59
099.0 116.1 62.38
099.0 102.3 56.71
100.0 077.0 35.74
100.0 058.7 26.61
100.0 050.4 22.43
100.0 038.0 19.06
100.0 028.2 16.99
100.0 024.6 15.56
100.0 035.6 20.59
100.0 065.8 037.5
100.0 085.9 50.95
100.0 101.4 60.59
100.0 107.8 62.38
100.0 100.4 56.71
