DOY tec med
074.0 050.4 22.29
074.0 028.9 014.6
074.0 020.6 10.81
074.0 021.6 10.75
074.0 021.0 11.76
074.0 019.9 11.91
074.0 015.7 12.66
074.0 024.3 19.92
074.0 040.0 29.44
074.0 049.2 036.1
074.0 057.2 37.71
074.0 058.9 38.27
075.0 046.6 22.29
075.0 024.8 014.6
075.0 017.4 10.81
075.0 017.8 10.75
075.0 016.9 11.76
075.0 017.7 11.91
075.0 013.6 12.66
075.0 024.1 19.92
075.0 038.8 29.44
075.0 046.3 036.1
075.0 049.6 37.71
075.0 052.8 38.27
076.0 045.4 22.29
076.0 025.5 014.6
076.0 015.4 10.81
076.0 015.8 10.75
076.0 015.0 11.76
076.0 018.1 11.91
076.0 015.3 12.66
076.0 025.4 19.92
076.0 048.2 29.44
076.0 071.5 036.1
076.0 045.1 37.71
076.0 047.3 38.27
077.0 045.3 22.29
077.0 027.4 014.6
077.0 017.8 10.81
077.0 015.0 10.75
077.0 014.8 11.76
077.0 014.5 11.91
077.0 013.9 12.66
077.0 028.9 19.92
077.0 041.5 29.44
077.0 056.1 036.1
077.0 061.4 37.71
077.0 049.1 38.27
078.0 045.8 22.29
078.0 027.2 014.6
078.0 016.4 10.81
078.0 012.8 10.75
078.0 012.8 11.76
078.0 013.1 11.91
078.0 011.7 12.66
078.0 022.2 19.92
078.0 039.8 29.44
078.0 047.6 036.1
078.0 045.7 37.71
078.0 041.6 38.27
079.0 035.9 22.29
079.0 019.1 014.6
079.0 014.0 10.81
079.0 013.9 10.75
079.0 012.4 11.76
079.0 013.0 11.91
079.0 011.9 12.66
079.0 025.8 19.92
079.0 038.7 29.44
079.0 050.3 036.1
079.0 056.9 37.71
079.0 042.4 38.27
